year,city,country,avg_temp
1856,Bangui,Central African Republic,24.98
1857,Bangui,Central African Republic,23.49
1858,Bangui,Central African Republic,24.30
1859,Bangui,Central African Republic,24.31
1860,Bangui,Central African Republic,24.59
1861,Bangui,Central African Republic,24.22
1862,Bangui,Central African Republic,25.21
1863,Bangui,Central African Republic,
1864,Bangui,Central African Republic,
1865,Bangui,Central African Republic,
1866,Bangui,Central African Republic,
1867,Bangui,Central African Republic,
1868,Bangui,Central African Republic,
1869,Bangui,Central African Republic,
1870,Bangui,Central African Republic,
1871,Bangui,Central African Republic,
1872,Bangui,Central African Republic,
1873,Bangui,Central African Republic,24.72
1874,Bangui,Central African Republic,24.65
1875,Bangui,Central African Republic,24.28
1876,Bangui,Central African Republic,24.36
1877,Bangui,Central African Republic,24.83
1878,Bangui,Central African Republic,24.90
1879,Bangui,Central African Republic,24.18
1880,Bangui,Central African Republic,24.15
1881,Bangui,Central African Republic,24.44
1882,Bangui,Central African Republic,24.36
1883,Bangui,Central African Republic,24.42
1884,Bangui,Central African Republic,24.15
1885,Bangui,Central African Republic,24.44
1886,Bangui,Central African Republic,24.33
1887,Bangui,Central African Republic,23.98
1888,Bangui,Central African Republic,24.27
1889,Bangui,Central African Republic,24.72
1890,Bangui,Central African Republic,23.91
1891,Bangui,Central African Republic,24.18
1892,Bangui,Central African Republic,24.39
1893,Bangui,Central African Republic,24.21
1894,Bangui,Central African Republic,24.50
1895,Bangui,Central African Republic,24.42
1896,Bangui,Central African Republic,24.49
1897,Bangui,Central African Republic,24.78
1898,Bangui,Central African Republic,24.54
1899,Bangui,Central African Republic,24.74
1900,Bangui,Central African Republic,24.71
1901,Bangui,Central African Republic,25.42
1902,Bangui,Central African Republic,24.70
1903,Bangui,Central African Republic,24.71
1904,Bangui,Central African Republic,23.91
1905,Bangui,Central African Republic,24.64
1906,Bangui,Central African Republic,24.41
1907,Bangui,Central African Republic,24.58
1908,Bangui,Central African Republic,24.40
1909,Bangui,Central African Republic,24.25
1910,Bangui,Central African Republic,24.13
1911,Bangui,Central African Republic,24.39
1912,Bangui,Central African Republic,25.05
1913,Bangui,Central African Republic,24.96
1914,Bangui,Central African Republic,25.33
1915,Bangui,Central African Republic,25.09
1916,Bangui,Central African Republic,24.63
1917,Bangui,Central African Republic,24.66
1918,Bangui,Central African Republic,24.53
1919,Bangui,Central African Republic,25.04
1920,Bangui,Central African Republic,24.36
1921,Bangui,Central African Republic,24.94
1922,Bangui,Central African Republic,24.49
1923,Bangui,Central African Republic,24.69
1924,Bangui,Central African Republic,25.20
1925,Bangui,Central African Republic,24.75
1926,Bangui,Central African Republic,25.09
1927,Bangui,Central African Republic,25.23
1928,Bangui,Central African Republic,25.15
1929,Bangui,Central African Republic,24.67
1930,Bangui,Central African Republic,24.88
1931,Bangui,Central African Republic,25.55
1932,Bangui,Central African Republic,24.98
1933,Bangui,Central African Republic,25.28
1934,Bangui,Central African Republic,25.04
1935,Bangui,Central African Republic,25.31
1936,Bangui,Central African Republic,25.26
1937,Bangui,Central African Republic,25.27
1938,Bangui,Central African Republic,25.41
1939,Bangui,Central African Republic,24.97
1940,Bangui,Central African Republic,25.03
1941,Bangui,Central African Republic,25.72
1942,Bangui,Central African Republic,25.54
1943,Bangui,Central African Republic,24.99
1944,Bangui,Central African Republic,25.20
1945,Bangui,Central African Republic,25.31
1946,Bangui,Central African Republic,25.28
1947,Bangui,Central African Republic,25.43
1948,Bangui,Central African Republic,25.00
1949,Bangui,Central African Republic,25.24
1950,Bangui,Central African Republic,25.00
1951,Bangui,Central African Republic,25.18
1952,Bangui,Central African Republic,25.21
1953,Bangui,Central African Republic,25.11
1954,Bangui,Central African Republic,24.92
1955,Bangui,Central African Republic,24.75
1956,Bangui,Central African Republic,24.76
1957,Bangui,Central African Republic,24.98
1958,Bangui,Central African Republic,25.35
1959,Bangui,Central African Republic,25.01
1960,Bangui,Central African Republic,24.98
