year,city,country,avg_temp
1832,Belo Horizonte,Brazil,20.31
1833,Belo Horizonte,Brazil,21.29
1834,Belo Horizonte,Brazil,20.58
1835,Belo Horizonte,Brazil,19.99
1836,Belo Horizonte,Brazil,20.21
1837,Belo Horizonte,Brazil,19.65
1838,Belo Horizonte,Brazil,20.09
1839,Belo Horizonte,Brazil,19.89
1840,Belo Horizonte,Brazil,20.57
1841,Belo Horizonte,Brazil,20.26
1842,Belo Horizonte,Brazil,20.69
1843,Belo Horizonte,Brazil,20.83
1844,Belo Horizonte,Brazil,
1845,Belo Horizonte,Brazil,
1846,Belo Horizonte,Brazil,
1847,Belo Horizonte,Brazil,
1848,Belo Horizonte,Brazil,
1849,Belo Horizonte,Brazil,
1850,Belo Horizonte,Brazil,
1851,Belo Horizonte,Brazil,20.80
1852,Belo Horizonte,Brazil,20.96
1853,Belo Horizonte,Brazil,20.98
1854,Belo Horizonte,Brazil,21.06
1855,Belo Horizonte,Brazil,21.10
1856,Belo Horizonte,Brazil,20.14
1857,Belo Horizonte,Brazil,20.62
1858,Belo Horizonte,Brazil,19.79
1859,Belo Horizonte,Brazil,20.43
1860,Belo Horizonte,Brazil,21.13
1861,Belo Horizonte,Brazil,20.34
1862,Belo Horizonte,Brazil,20.30
1863,Belo Horizonte,Brazil,20.33
1864,Belo Horizonte,Brazil,20.33
1865,Belo Horizonte,Brazil,20.24
1866,Belo Horizonte,Brazil,20.44
1867,Belo Horizonte,Brazil,20.61
1868,Belo Horizonte,Brazil,21.46
1869,Belo Horizonte,Brazil,21.40
1870,Belo Horizonte,Brazil,21.38
1871,Belo Horizonte,Brazil,21.07
1872,Belo Horizonte,Brazil,21.00
1873,Belo Horizonte,Brazil,21.22
1874,Belo Horizonte,Brazil,20.58
1875,Belo Horizonte,Brazil,20.14
1876,Belo Horizonte,Brazil,20.39
1877,Belo Horizonte,Brazil,21.13
1878,Belo Horizonte,Brazil,21.55
1879,Belo Horizonte,Brazil,20.20
1880,Belo Horizonte,Brazil,21.18
1881,Belo Horizonte,Brazil,20.61
1882,Belo Horizonte,Brazil,20.05
1883,Belo Horizonte,Brazil,20.29
1884,Belo Horizonte,Brazil,20.17
1885,Belo Horizonte,Brazil,21.05
1886,Belo Horizonte,Brazil,20.31
1887,Belo Horizonte,Brazil,20.80
1888,Belo Horizonte,Brazil,21.17
1889,Belo Horizonte,Brazil,21.40
1890,Belo Horizonte,Brazil,20.63
1891,Belo Horizonte,Brazil,20.83
1892,Belo Horizonte,Brazil,20.62
1893,Belo Horizonte,Brazil,20.01
1894,Belo Horizonte,Brazil,20.89
1895,Belo Horizonte,Brazil,20.67
1896,Belo Horizonte,Brazil,20.70
1897,Belo Horizonte,Brazil,20.65
1898,Belo Horizonte,Brazil,20.90
1899,Belo Horizonte,Brazil,21.17
1900,Belo Horizonte,Brazil,20.94
1901,Belo Horizonte,Brazil,20.74
1902,Belo Horizonte,Brazil,21.24
1903,Belo Horizonte,Brazil,21.00
1904,Belo Horizonte,Brazil,20.03
1905,Belo Horizonte,Brazil,21.29
1906,Belo Horizonte,Brazil,20.93
1907,Belo Horizonte,Brazil,20.63
1908,Belo Horizonte,Brazil,20.95
1909,Belo Horizonte,Brazil,20.56
1910,Belo Horizonte,Brazil,20.81
1911,Belo Horizonte,Brazil,20.70
1912,Belo Horizonte,Brazil,20.73
1913,Belo Horizonte,Brazil,21.04
1914,Belo Horizonte,Brazil,21.46
1915,Belo Horizonte,Brazil,21.46
1916,Belo Horizonte,Brazil,20.83
1917,Belo Horizonte,Brazil,20.02
1918,Belo Horizonte,Brazil,20.52
1919,Belo Horizonte,Brazil,20.91
1920,Belo Horizonte,Brazil,20.79
1921,Belo Horizonte,Brazil,20.65
1922,Belo Horizonte,Brazil,21.15
1923,Belo Horizonte,Brazil,20.79
1924,Belo Horizonte,Brazil,20.70
1925,Belo Horizonte,Brazil,20.77
1926,Belo Horizonte,Brazil,21.05
1927,Belo Horizonte,Brazil,21.13
1928,Belo Horizonte,Brazil,21.43
1929,Belo Horizonte,Brazil,21.12
1930,Belo Horizonte,Brazil,21.27
1931,Belo Horizonte,Brazil,20.99
1932,Belo Horizonte,Brazil,21.54
1933,Belo Horizonte,Brazil,20.48
1934,Belo Horizonte,Brazil,21.11
1935,Belo Horizonte,Brazil,21.27
1936,Belo Horizonte,Brazil,21.37
1937,Belo Horizonte,Brazil,21.04
1938,Belo Horizonte,Brazil,21.26
1939,Belo Horizonte,Brazil,21.39
1940,Belo Horizonte,Brazil,21.47
1941,Belo Horizonte,Brazil,21.49
1942,Belo Horizonte,Brazil,21.16
1943,Belo Horizonte,Brazil,20.74
1944,Belo Horizonte,Brazil,21.10
1945,Belo Horizonte,Brazil,20.77
1946,Belo Horizonte,Brazil,21.55
1947,Belo Horizonte,Brazil,20.84
1948,Belo Horizonte,Brazil,21.14
1949,Belo Horizonte,Brazil,20.73
1950,Belo Horizonte,Brazil,21.11
1951,Belo Horizonte,Brazil,21.13
1952,Belo Horizonte,Brazil,21.14
1953,Belo Horizonte,Brazil,21.17
1954,Belo Horizonte,Brazil,21.65
1955,Belo Horizonte,Brazil,20.95
1956,Belo Horizonte,Brazil,20.67
1957,Belo Horizonte,Brazil,20.96
1958,Belo Horizonte,Brazil,21.49
1959,Belo Horizonte,Brazil,21.90
1960,Belo Horizonte,Brazil,21.03
1961,Belo Horizonte,Brazil,21.69
1962,Belo Horizonte,Brazil,20.74
1963,Belo Horizonte,Brazil,21.95
1964,Belo Horizonte,Brazil,20.73
1965,Belo Horizonte,Brazil,21.32
1966,Belo Horizonte,Brazil,21.41
1967,Belo Horizonte,Brazil,21.53
1968,Belo Horizonte,Brazil,20.51
1969,Belo Horizonte,Brazil,21.66
1970,Belo Horizonte,Brazil,21.43
1971,Belo Horizonte,Brazil,21.02
1972,Belo Horizonte,Brazil,21.61
1973,Belo Horizonte,Brazil,21.87
1974,Belo Horizonte,Brazil,21.14
1975,Belo Horizonte,Brazil,20.93
1976,Belo Horizonte,Brazil,21.07
1977,Belo Horizonte,Brazil,21.68
1978,Belo Horizonte,Brazil,20.94
1979,Belo Horizonte,Brazil,20.87
1980,Belo Horizonte,Brazil,21.63
1981,Belo Horizonte,Brazil,21.19
1982,Belo Horizonte,Brazil,21.50
1983,Belo Horizonte,Brazil,21.48
1984,Belo Horizonte,Brazil,22.14
1985,Belo Horizonte,Brazil,21.39
1986,Belo Horizonte,Brazil,21.84
1987,Belo Horizonte,Brazil,22.05
1988,Belo Horizonte,Brazil,21.63
1989,Belo Horizonte,Brazil,21.13
1990,Belo Horizonte,Brazil,21.88
1991,Belo Horizonte,Brazil,21.43
1992,Belo Horizonte,Brazil,21.35
1993,Belo Horizonte,Brazil,21.94
1994,Belo Horizonte,Brazil,21.91
1995,Belo Horizonte,Brazil,22.07
1996,Belo Horizonte,Brazil,21.56
1997,Belo Horizonte,Brazil,21.91
1998,Belo Horizonte,Brazil,22.35
1999,Belo Horizonte,Brazil,21.59
2000,Belo Horizonte,Brazil,21.69
2001,Belo Horizonte,Brazil,22.14
2002,Belo Horizonte,Brazil,22.50
2003,Belo Horizonte,Brazil,22.08
2004,Belo Horizonte,Brazil,21.59
2005,Belo Horizonte,Brazil,22.05
2006,Belo Horizonte,Brazil,21.82
2007,Belo Horizonte,Brazil,22.19
2008,Belo Horizonte,Brazil,21.86
2009,Belo Horizonte,Brazil,22.25
2010,Belo Horizonte,Brazil,22.12
2011,Belo Horizonte,Brazil,21.74
2012,Belo Horizonte,Brazil,22.16
2013,Belo Horizonte,Brazil,21.59
